,TP9,AF7,AF8,TP10,Right AUX,timestamps
413,568.848,-409.180,531.250,461.426,0.000,1711986889.085
414,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.088
415,-753.906,517.090,-595.703,-619.141,0.000,1711986889.092
416,848.145,-1000.000,947.266,970.703,0.000,1711986889.096
417,999.512,-798.828,773.438,912.109,0.000,1711986889.100
418,-453.613,576.660,-687.500,-581.055,0.000,1711986889.103
419,-1000.000,952.148,-1000.000,-1000.000,0.000,1711986889.107
420,119.629,513.672,299.316,239.746,0.000,1711986889.113
421,999.512,-547.852,999.512,999.512,0.000,1711986889.116
422,62.500,-1000.000,-83.496,9.766,0.000,1711986889.120
423,-1000.000,208.984,-1000.000,-1000.000,0.000,1711986889.124
424,-247.559,999.512,-172.852,-226.074,0.000,1711986889.127
425,999.512,25.391,999.512,999.512,0.000,1711986889.131
426,239.258,-1000.000,326.172,233.398,0.000,1711986889.135
427,-1000.000,-437.012,-1000.000,-1000.000,0.000,1711986889.139
428,-430.664,999.512,-518.066,-331.543,0.000,1711986889.142
429,999.512,333.008,978.516,999.512,0.000,1711986889.146
430,524.902,-1000.000,630.859,490.234,0.000,1711986889.150
431,-1000.000,-327.148,-867.188,-1000.000,0.000,1711986889.154
432,-898.438,975.586,-806.641,-779.297,0.000,1711986889.159
433,584.473,569.336,638.184,758.789,0.000,1711986889.163
434,999.512,-425.781,999.512,999.512,0.000,1711986889.166
435,-208.496,526.367,-393.066,-339.844,0.000,1711986889.170
436,-1000.000,955.078,-1000.000,-1000.000,0.000,1711986889.174
437,-62.988,-642.578,298.340,63.965,0.000,1711986889.178
438,999.512,-1000.000,999.512,999.512,0.000,1711986889.181
439,211.914,164.551,67.871,184.570,0.000,1711986889.185
440,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.189
441,-269.531,-115.723,-155.273,-265.625,0.000,1711986889.193
442,999.512,-1000.000,999.512,999.512,0.000,1711986889.196
443,330.566,-203.613,279.785,274.902,0.000,1711986889.200
444,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.205
445,-526.855,584.961,-449.219,-421.387,0.000,1711986889.209
446,999.512,-746.582,999.512,999.512,0.000,1711986889.213
447,750.977,-650.391,597.168,651.855,0.000,1711986889.217
448,-866.699,633.789,-924.316,-958.496,0.000,1711986889.220
449,-936.035,999.512,-790.039,-868.652,0.000,1711986889.224
450,596.191,574.219,645.996,676.758,0.000,1711986889.228
451,999.512,-705.078,999.512,999.512,0.000,1711986889.232
452,-174.805,-1000.000,-241.699,-252.441,0.000,1711986889.235
453,-1000.000,-198.242,-1000.000,-1000.000,0.000,1711986889.239
454,-99.121,999.512,-10.742,-51.758,0.000,1711986889.243
455,999.512,102.051,999.512,999.512,0.000,1711986889.247
456,215.820,-1000.000,152.832,192.871,0.000,1711986889.253
457,-1000.000,-136.230,-1000.000,-1000.000,0.000,1711986889.256
458,-270.508,999.512,-327.148,-264.160,0.000,1711986889.260
459,999.512,213.379,999.512,999.512,0.000,1711986889.264
460,360.840,-1000.000,458.984,293.457,0.000,1711986889.268
461,-1000.000,-220.703,-1000.000,-1000.000,0.000,1711986889.271
462,-546.875,999.512,-542.480,-509.766,0.000,1711986889.275
463,999.512,523.438,960.938,999.512,0.000,1711986889.279
464,788.574,-953.613,772.949,724.609,0.000,1711986889.283
465,-744.141,-925.293,-656.250,-840.820,0.000,1711986889.286
466,-1000.000,541.504,-1000.000,-1000.000,0.000,1711986889.290
467,286.621,986.816,337.402,397.461,0.000,1711986889.294
468,999.512,-450.684,999.512,999.512,0.000,1711986889.300
469,-40.039,-1000.000,-178.711,-96.191,0.000,1711986889.303
470,-1000.000,275.391,-1000.000,-1000.000,0.000,1711986889.307
471,-187.500,999.512,-67.871,-126.953,0.000,1711986889.311
472,999.512,-328.125,999.512,999.512,0.000,1711986889.315
473,228.027,-440.430,165.527,218.262,0.000,1711986889.318
474,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.322
475,-321.289,322.266,-315.918,-273.438,0.000,1711986889.326
476,999.512,-1000.000,999.512,999.512,0.000,1711986889.330
477,572.266,-338.867,428.711,473.633,0.000,1711986889.333
478,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.337
479,-833.984,432.617,-633.301,-701.660,0.000,1711986889.341
480,737.793,-1000.000,893.555,897.461,0.000,1711986889.347
481,999.512,-783.203,799.805,932.129,0.000,1711986889.350
482,-373.047,741.211,-671.387,-550.781,0.000,1711986889.354
483,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.358
484,48.340,-579.590,355.469,171.387,0.000,1711986889.362
485,999.512,-936.523,999.512,999.512,0.000,1711986889.365
486,15.137,612.305,-262.695,-80.078,0.000,1711986889.369
487,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.373
488,-266.113,-18.066,-195.801,-251.465,0.000,1711986889.377
489,999.512,-1000.000,999.512,999.512,0.000,1711986889.380
490,305.664,-354.980,287.598,243.652,0.000,1711986889.384
491,-1000.000,896.484,-1000.000,-1000.000,0.000,1711986889.388
492,-534.180,871.094,-547.852,-418.945,0.000,1711986889.393
493,999.512,-118.652,912.598,999.512,0.000,1711986889.397
494,706.055,-995.117,693.359,634.766,0.000,1711986889.401
495,-879.883,-360.352,-745.605,-975.586,0.000,1711986889.405
496,-1000.000,675.781,-922.363,-866.211,0.000,1711986889.408
497,447.754,916.504,450.195,657.715,0.000,1711986889.412
498,999.512,641.113,999.512,999.512,0.000,1711986889.416
499,-132.324,-381.836,-266.602,-192.871,0.000,1711986889.420
500,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986889.423
501,-200.684,-302.734,120.605,-34.668,0.000,1711986889.427
502,999.512,999.512,999.512,999.512,0.000,1711986889.431
503,229.980,373.047,38.574,204.102,0.000,1711986889.435
504,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986889.440
505,-281.250,-603.027,-264.648,-267.578,0.000,1711986889.444
506,999.512,960.938,999.512,999.512,0.000,1711986889.448
507,359.375,748.047,342.285,306.641,0.000,1711986889.451
508,-1000.000,-849.609,-1000.000,-1000.000,0.000,1711986889.455
509,-622.559,-896.484,-459.961,-498.047,0.000,1711986889.459
510,966.309,641.602,999.512,999.512,0.000,1711986889.463
511,868.164,999.512,718.750,784.180,0.000,1711986889.466
512,-640.137,-264.648,-723.633,-771.973,0.000,1711986889.470
513,-1000.000,-1000.000,-874.512,-1000.000,0.000,1711986889.474
514,186.523,-106.934,577.148,432.129,0.000,1711986889.478
515,999.512,999.512,996.094,999.512,0.000,1711986889.481
516,-49.316,131.836,-359.863,-122.559,0.000,1711986889.487
517,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1711986889.491
518,-235.352,-259.766,30.273,-147.949,0.000,1711986889.494
519,999.512,999.512,999.512,999.512,0.000,1711986889.498
520,232.422,677.734,138.672,222.168,0.000,1711986889.502
521,-1000.000,493.652,-1000.000,-1000.000,0.000,1711986889.506
522,-269.531,999.512,-231.934,-270.020,0.000,1711986889.509
523,999.512,8.789,999.512,999.512,0.000,1711986889.513
524,420.898,-1000.000,501.953,389.648,0.000,1711986889.517
525,-1000.000,-494.629,-963.867,-1000.000,0.000,1711986889.521
526,-655.762,990.723,-707.031,-575.684,0.000,1711986889.524
527,958.984,494.629,783.203,999.512,0.000,1711986889.528
528,866.699,-1000.000,844.727,828.125,0.000,1711986889.534
529,-649.414,-521.973,-589.844,-709.473,0.000,1711986889.538
530,-1000.000,970.703,-1000.000,-1000.000,0.000,1711986889.542
531,191.406,834.473,332.031,330.078,0.000,1711986889.545
532,999.512,-732.910,999.512,999.512,0.000,1711986889.549
533,-33.203,-750.000,-139.648,-72.754,0.000,1711986889.553
534,-1000.000,801.758,-1000.000,-1000.000,0.000,1711986889.557
535,-237.305,999.512,-33.203,-191.895,0.000,1711986889.561
536,999.512,-207.520,999.512,999.512,0.000,1711986889.564
537,238.770,-1000.000,229.980,229.980,0.000,1711986889.568
538,-1000.000,-173.828,-1000.000,-1000.000,0.000,1711986889.572
539,-369.629,999.512,-434.570,-318.359,0.000,1711986889.576
540,999.512,322.266,999.512,999.512,0.000,1711986889.581
541,484.863,-1000.000,580.566,436.523,0.000,1711986889.584
542,-1000.000,-369.141,-916.504,-1000.000,0.000,1711986889.588
543,-849.609,999.512,-775.879,-732.910,0.000,1711986889.592
544,644.531,358.887,703.613,812.500,0.000,1711986889.596
545,999.512,-540.527,952.637,999.512,0.000,1711986889.600
546,-229.492,754.883,-485.352,-395.508,0.000,1711986889.603
547,-1000.000,906.250,-1000.000,-1000.000,0.000,1711986889.607
548,-42.969,-689.453,334.961,87.891,0.000,1711986889.611
549,999.512,-1000.000,999.512,999.512,0.000,1711986889.615
550,202.637,120.117,-23.438,123.535,0.000,1711986889.618
551,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.622
552,-266.113,58.105,-147.461,-255.371,0.000,1711986889.628
553,999.512,-1000.000,999.512,999.512,0.000,1711986889.632
554,285.156,-177.734,254.395,236.816,0.000,1711986889.635
555,-1000.000,999.512,-1000.000,-1000.000,0.000,1711986889.639
556,-498.535,770.996,-459.961,-398.438,0.000,1711986889.643
