,TP9,AF7,AF8,TP10,Right AUX,timestamps
178,-261.719,-231.445,-873.047,278.809,0.000,1713320976.331
179,-1000.000,-1000.000,-818.848,596.680,0.000,1713320976.334
180,-20.020,-945.801,-1000.000,-920.898,0.000,1713320976.341
181,999.512,-972.656,-1000.000,-1000.000,0.000,1713320976.345
182,-64.941,-986.816,-992.188,-270.508,0.000,1713320976.348
183,-1000.000,-1000.000,-985.352,999.512,0.000,1713320976.352
184,507.812,197.266,-993.164,243.652,0.000,1713320976.355
185,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.359
186,898.438,906.738,-1000.000,-308.594,0.000,1713320976.362
187,993.164,984.375,-834.961,999.512,0.000,1713320976.366
188,897.461,902.832,-884.277,333.008,0.000,1713320976.370
189,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.373
190,661.621,691.406,-1000.000,-877.930,0.000,1713320976.377
191,-831.055,-749.512,-828.125,758.789,0.000,1713320976.380
192,-1000.000,-1000.000,-811.035,316.895,0.000,1713320976.386
193,420.410,-952.637,-1000.000,-1000.000,0.000,1713320976.390
194,999.512,-950.195,-1000.000,-1000.000,0.000,1713320976.394
195,-595.215,-1000.000,-955.078,-227.539,0.000,1713320976.397
196,-665.039,-735.840,-914.551,999.512,0.000,1713320976.401
197,957.031,703.125,-991.211,57.129,0.000,1713320976.404
198,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.408
199,914.551,904.785,-968.750,-236.328,0.000,1713320976.412
200,990.234,993.164,-834.961,999.512,0.000,1713320976.415
201,897.949,895.996,-948.730,241.699,0.000,1713320976.419
202,999.512,999.512,-1000.000,-1000.000,0.000,1713320976.422
203,391.602,387.207,-1000.000,-472.656,0.000,1713320976.426
204,-1000.000,-991.699,-778.320,999.512,0.000,1713320976.432
205,-667.480,-1000.000,-840.820,209.473,0.000,1713320976.436
206,999.512,-966.309,-1000.000,-1000.000,0.000,1713320976.439
207,650.879,-940.430,-1000.000,-1000.000,0.000,1713320976.443
208,-1000.000,-1000.000,-919.434,48.828,0.000,1713320976.446
209,-300.293,-398.438,-902.344,999.512,0.000,1713320976.450
