,TP9,AF7,AF8,TP10,Right AUX,timestamps
39,-1000.000,49.316,-359.375,968.262,0.000,1711992593.847
40,-742.676,-293.945,-614.258,968.262,0.000,1711992593.851
41,876.465,977.051,949.707,968.262,0.000,1711992593.854
42,828.125,999.512,999.512,968.262,0.000,1711992593.858
43,-681.152,29.785,-175.293,968.262,0.000,1711992593.861
44,-1000.000,-619.141,-1000.000,968.262,0.000,1711992593.865
45,-16.602,901.855,-947.266,968.262,0.000,1711992593.869
46,999.512,999.512,-994.629,968.262,0.000,1711992593.872
47,-76.660,907.715,-1000.000,968.262,0.000,1711992593.876
48,-1000.000,984.375,-1000.000,968.262,0.000,1711992593.875
49,-227.539,968.262,-1000.000,968.262,0.000,1711992593.879
50,999.512,968.262,-1000.000,968.262,0.000,1711992593.882
51,244.141,968.750,-1000.000,968.262,0.000,1711992593.886
52,-1000.000,968.750,-1000.000,968.262,0.000,1711992593.889
53,-503.418,968.750,-1000.000,968.262,0.000,1711992593.893
54,999.512,968.750,-1000.000,968.262,0.000,1711992593.896
55,440.918,968.750,-1000.000,968.262,0.000,1711992593.900
56,-1000.000,968.750,-1000.000,968.262,0.000,1711992593.903
57,-976.562,968.750,-1000.000,968.262,0.000,1711992593.907
58,600.586,968.262,-1000.000,968.262,0.000,1711992593.910
59,849.609,968.262,-1000.000,968.262,0.000,1711992593.914
60,-755.859,968.750,-1000.000,968.262,0.000,1711992593.914
61,-1000.000,968.262,-1000.000,968.262,0.000,1711992593.918
62,-40.527,968.262,-1000.000,968.262,0.000,1711992593.921
63,999.512,968.262,-1000.000,968.262,0.000,1711992593.925
64,73.730,968.262,-1000.000,968.262,0.000,1711992593.928
65,-1000.000,968.262,-1000.000,968.262,0.000,1711992593.931
66,-244.629,968.750,-1000.000,968.262,0.000,1711992593.935
67,999.512,968.262,-1000.000,968.262,0.000,1711992593.938
68,242.188,968.262,-1000.000,968.262,0.000,1711992593.942
69,-1000.000,968.262,-1000.000,968.262,0.000,1711992593.945
70,-508.301,968.262,-1000.000,968.262,0.000,1711992593.948
71,999.512,968.262,-1000.000,968.262,0.000,1711992593.952
